Model,Accuracy,Precision,Recall,F1-score,AUC
Logistic Regression,0.7530798071772897,0.7460055096418733,1.0,0.8545282423477437,0.5669448115611531
Decision Tree,0.9437600428494911,0.9555069292487236,0.9675036927621861,0.9614678899082569,0.9373850060898183
k-NN,0.9405463310123192,0.9474442044636429,0.9719350073855244,0.959533357637623,0.9324678017051492
Random Forest,0.9480449919657205,0.9570909090909091,0.9719350073855244,0.9644558446317333,0.9384417263411278
XGBoost,0.9421531869309052,0.9482014388489208,0.9734121122599705,0.9606413994169096,0.9298403978105447
SVM,0.9480449919657205,0.9564270152505446,0.9726735598227474,0.9644818747711461,0.9269250592425591
